preco
"97,98278238"
"103,3529378"
"100,7709019"
"97,75538465"
"97,90686137"
"96,99315262"
"99,67255473"
"99,24413979"
"98,145716"
"93,87329271"
"88,48589818"
"89,40965915"
"88,31080763"
"90,82224026"
"91,39522378"
"93,88863016"
"95,08630895"
"97,01104616"
"93,3201661"
"89,50744865"
"84,12824349"
"72,50935785"
"63,47980026"
"50,18137525"
"40,45127204"
"45,98606029"
"46,01733148"
"49,32555079"
"52,0391048"
"52,82572539"
"45,16594928"
"38,41926618"
"36,29036188"
"34,86076818"
"32,50882892"
"26,19609555"
"23,10238236"
"23,72933001"
"28,32656326"
"31,33581838"
"36,72636094"
"39,80714565"
"37,97152615"
"37,7409033"
"36,82666068"
"40,66835633"
"38,36162335"
"42,32596222"
"44,50008104"
"44,17497054"
"41,93242754"
"43,22117983"
"43,85074224"
"41,15105027"
"43,87771389"
"45,55484158"
"48,16236969"
"48,89113544"
"53,34504797"
"54,05575551"
"57,45399465"
"56,15676166"
"57,22458411"
"58,1597321"
"62,8992885"
"64,63686462"
"66,42161929"
"64,26566559"
"68,36348218"
"71,15330415"
"59,82583024"
"51,86866879"
"54,0566599"
"57,37980963"
"59,46449237"
"62,07702999"
"60,33673635"
"56,90537275"
"57,8757972"
"49,58496078"
"55,05521759"
"51,00462652"
"50,68969414"
"54,54901323"
"49,7929933"
"44,63505005"
"28,9230229"
