volume
"27,04"
"39,68"
"40,18"
"39,57"
"14,86"
"32,50"
"16,42"
"34,79"
"42,77"
"31,92"
"85,76"
"80,53"
"61,27"
"66,35"
"19,46"
"43,95"
"53,81"
"64,33"
"98,90"
"27,33"
"83,09"
"48,19"
"92,69"
"0,34"
"2,98"
"40,09"
"50,55"
"59,27"
"8,99"
"77,91"
"0,11"
"35,21"
"27,34"
"69,58"
"74,23"
"80,94"
"23,46"
"23,95"
"41,02"
"2,54"
"44,47"
"83,89"
"56,54"
"65,70"
"96,67"
"53,13"
"11,10"
"99,04"
"99,50"
"52,08"
"93,87"
"37,37"
"50,15"
"59,81"
"57,97"
"95,93"
"79,23"
"99,66"
"28,13"
"43,76"
"77,43"
"4,06"
"56,61"
"48,80"
"25,24"
"50,29"
"99,48"
"0,49"
"63,69"
"93,82"
"55,04"
"76,35"
"2,47"
"38,12"
"78,83"
"8,67"
"73,73"
"70,54"
"65,68"
"24,08"
"4,99"
"63,07"
"68,13"
"74,91"
"2,18"
"83,28"
"2,77"
"54,02"
